[ILPcarry, ILPblock, ILPjit, inflation, Trinity, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTcarry, CTblock, CTjit, CTmix]
input/30Tasks_300_3_S.npy
[ {'shared-R': 0.31820415106657274, 'deadline': 3.793291450775094, 'period': 3.793291450775094, 'exclusive-R': 1.394418494722995}
 {'shared-R': 0.25288247386820506, 'deadline': 5.160192668715059, 'period': 5.160192668715059, 'exclusive-R': 2.1318151988193517}
 {'shared-R': 3.5108990071399444, 'deadline': 34.13830967459931, 'period': 34.13830967459931, 'exclusive-R': 13.755057409556965}
 {'shared-R': 0.46615838082750105, 'deadline': 5.974443155347283, 'period': 5.974443155347283, 'exclusive-R': 1.7129254569267869}
 {'shared-R': 1.3878752302901327, 'deadline': 49.60973422452228, 'period': 49.60973422452228, 'exclusive-R': 14.788835441344062}
 {'shared-R': 0.38726656210941907, 'deadline': 7.268247638846461, 'period': 7.268247638846461, 'exclusive-R': 2.407563307654782}
 {'shared-R': 4.1268556100357765, 'deadline': 56.63045848508686, 'period': 56.63045848508686, 'exclusive-R': 20.077481550387837}
 {'shared-R': 0.18670990391089395, 'deadline': 9.513348120185467, 'period': 9.513348120185467, 'exclusive-R': 3.9557170387251297}
 {'shared-R': 11.327298518896814, 'deadline': 65.05783012463033, 'period': 65.05783012463033, 'exclusive-R': 16.420365454163388}
 {'shared-R': 0.01279965687958256, 'deadline': 3.026435506859107, 'period': 3.026435506859107, 'exclusive-R': 1.0004712925741477}
 {'shared-R': 3.439918909774603, 'deadline': 19.517180070807683, 'period': 19.517180070807683, 'exclusive-R': 5.762462677460829}
 {'shared-R': 1.2178668351168596, 'deadline': 7.177011511166792, 'period': 7.177011511166792, 'exclusive-R': 2.13606163535814}
 {'shared-R': 7.965062119547348, 'deadline': 26.752260704771896, 'period': 26.752260704771896, 'exclusive-R': 7.666195588125743}]
total utili:4.5
total utili+exclusive:13.9001884033
[ {'shared-R': 0.20676960747954273, 'deadline': 5.522009695728651, 'period': 5.522009695728651, 'exclusive-R': 2.1051435949169894}
 {'shared-R': 10.478019513608546, 'deadline': 93.67709026028544, 'period': 93.67709026028544, 'exclusive-R': 37.23284896242}
 {'shared-R': 6.584085673562981, 'deadline': 8.333101556255599, 'period': 8.333101556255599, 'exclusive-R': 0.6835701404188406}
 {'shared-R': 0.8880507848453109, 'deadline': 23.486032372039837, 'period': 23.486032372039837, 'exclusive-R': 6.835522473599653}
 {'shared-R': 0.23633944014835195, 'deadline': 1.836404401452929, 'period': 1.836404401452929, 'exclusive-R': 0.5264113663520992}
 {'shared-R': 12.409951693762988, 'deadline': 62.01595232204981, 'period': 62.01595232204981, 'exclusive-R': 15.916904358989491}
 {'shared-R': 1.4640122645404472, 'deadline': 6.798223647153201, 'period': 6.798223647153201, 'exclusive-R': 1.7786486900694993}
 {'shared-R': 0.28332746013369, 'deadline': 16.937978685822795, 'period': 16.937978685822795, 'exclusive-R': 7.464847381459868}
 {'shared-R': 2.025055207649857, 'deadline': 6.7014129757014995, 'period': 6.7014129757014995, 'exclusive-R': 1.791878153091093}
 {'shared-R': 16.13707468452769, 'deadline': 87.64175707639869, 'period': 87.64175707639869, 'exclusive-R': 24.44270696706098}
 {'shared-R': 0.7180544812122176, 'deadline': 5.817701013841177, 'period': 5.817701013841177, 'exclusive-R': 1.7837106502458375}
 {'shared-R': 0.31874925767077095, 'deadline': 18.373266378940464, 'period': 18.373266378940464, 'exclusive-R': 7.6224146447694325}
 {'shared-R': 0.16393085820823708, 'deadline': 6.981094479373867, 'period': 6.981094479373867, 'exclusive-R': 2.9800920739228447}
 {'shared-R': 10.096590069162941, 'deadline': 99.56346556043536, 'period': 99.56346556043536, 'exclusive-R': 32.28915395661885}
 {'shared-R': 0.042506088133217594, 'deadline': 2.917968287938405, 'period': 2.917968287938405, 'exclusive-R': 1.0754045570965214}
 {'shared-R': 2.944259128352377, 'deadline': 94.69612369700576, 'period': 94.69612369700576, 'exclusive-R': 29.69788110177916}
 {'shared-R': 0.07893499710084656, 'deadline': 5.933494716847058, 'period': 5.933494716847058, 'exclusive-R': 2.2645464049877746}
 {'shared-R': 0.3472385278485953, 'deadline': 22.237742130922157, 'period': 22.237742130922157, 'exclusive-R': 9.123577732996399}
 {'shared-R': 0.8633630063529728, 'deadline': 3.5419006360695127, 'period': 3.5419006360695127, 'exclusive-R': 0.9980903229628584}
 {'shared-R': 13.538729098495752, 'deadline': 25.094114966584236, 'period': 25.094114966584236, 'exclusive-R': 4.049130784716518}
 {'shared-R': 1.1094423590419829, 'deadline': 5.285999084976676, 'period': 5.285999084976676, 'exclusive-R': 1.421181417314888}
 {'shared-R': 11.333387069924372, 'deadline': 86.19196733292223, 'period': 86.19196733292223, 'exclusive-R': 28.690224833440233}
 {'shared-R': 0.8407804876850723, 'deadline': 6.661661744477389, 'period': 6.661661744477389, 'exclusive-R': 1.8368948891258963}
 {'shared-R': 12.019335013292277, 'deadline': 72.17043720953933, 'period': 72.17043720953933, 'exclusive-R': 21.9748602655527}
 {'shared-R': 0.056556278134656426, 'deadline': 2.553969395875704, 'period': 2.553969395875704, 'exclusive-R': 1.0452636882389312}
 {'shared-R': 8.7154749809333, 'deadline': 56.794662939999206, 'period': 56.794662939999206, 'exclusive-R': 19.84665621717416}
 {'shared-R': 0.7218330069179432, 'deadline': 3.3767736789449456, 'period': 3.3767736789449456, 'exclusive-R': 0.9677139028780375}
 {'shared-R': 0.4766811450635996, 'deadline': 62.109367326871556, 'period': 62.109367326871556, 'exclusive-R': 26.895926176745483}
 {'shared-R': 0.7024964878622304, 'deadline': 3.0930377268379012, 'period': 3.0930377268379012, 'exclusive-R': 1.004012930691142}
 {'shared-R': 3.1653884550924176, 'deadline': 33.75317824847699, 'period': 33.75317824847699, 'exclusive-R': 9.704011230035485}]
total utili:4.5
total utili+exclusive:14.1059900123
[ {'shared-R': 0.13024064116900774, 'deadline': 1.181298424265449, 'period': 1.181298424265449, 'exclusive-R': 0.3712789869577885}
 {'shared-R': 0.8154387039066319, 'deadline': 68.91385644932438, 'period': 68.91385644932438, 'exclusive-R': 24.318437742236267}
 {'shared-R': 0.03828127654627282, 'deadline': 9.644827803881354, 'period': 9.644827803881354, 'exclusive-R': 3.043998456028305}
 {'shared-R': 0.8394403858118686, 'deadline': 71.09450499550137, 'period': 71.09450499550137, 'exclusive-R': 29.413649880593525}
 {'shared-R': 0.594240666719539, 'deadline': 2.4348436727717733, 'period': 2.4348436727717733, 'exclusive-R': 0.7797345379882957}
 {'shared-R': 5.1252631290832635, 'deadline': 30.47150186884092, 'period': 30.47150186884092, 'exclusive-R': 9.497765081781726}
 {'shared-R': 0.4279010101995015, 'deadline': 3.049060298555452, 'period': 3.049060298555452, 'exclusive-R': 0.8879352535756753}
 {'shared-R': 0.7371993183527153, 'deadline': 46.306391746204035, 'period': 46.306391746204035, 'exclusive-R': 17.31239972019518}
 {'shared-R': 0.37608988524270387, 'deadline': 1.3010749997656295, 'period': 1.3010749997656295, 'exclusive-R': 0.2836623133959582}
 {'shared-R': 16.522273016616897, 'deadline': 83.07739885520975, 'period': 83.07739885520975, 'exclusive-R': 28.782499876985085}
 {'shared-R': 0.9586917781318366, 'deadline': 7.032769381987474, 'period': 7.032769381987474, 'exclusive-R': 2.650332784538414}
 {'shared-R': 2.895500263972398, 'deadline': 12.635484185281674, 'period': 12.635484185281674, 'exclusive-R': 3.2347986684688474}
 {'shared-R': 1.0771143681772752, 'deadline': 4.127674829757858, 'period': 4.127674829757858, 'exclusive-R': 1.0759279001217594}
 {'shared-R': 22.204717257880777, 'deadline': 85.98630023642032, 'period': 85.98630023642032, 'exclusive-R': 22.888282993173025}
 {'shared-R': 0.19523827574888256, 'deadline': 9.50306837908727, 'period': 9.50306837908727, 'exclusive-R': 3.732032375485402}
 {'shared-R': 0.5150999857047648, 'deadline': 36.108427483836245, 'period': 36.108427483836245, 'exclusive-R': 15.943238634497975}
 {'shared-R': 0.7267362741624032, 'deadline': 4.992714500719554, 'period': 4.992714500719554, 'exclusive-R': 1.850895213083763}
 {'shared-R': 8.652859676188648, 'deadline': 88.15700031275979, 'period': 88.15700031275979, 'exclusive-R': 24.69952564510732}
 {'shared-R': 0.7685560911702669, 'deadline': 6.094699320881841, 'period': 6.094699320881841, 'exclusive-R': 1.9385264567814045}
 {'shared-R': 5.173760843329949, 'deadline': 29.03141508928487, 'period': 29.03141508928487, 'exclusive-R': 10.436540292595867}
 {'shared-R': 0.3226425292321984, 'deadline': 6.903943152527293, 'period': 6.903943152527293, 'exclusive-R': 2.888375493035176}
 {'shared-R': 6.783008268527927, 'deadline': 63.06530334026911, 'period': 63.06530334026911, 'exclusive-R': 17.668820559955485}
 {'shared-R': 1.5770374154288875, 'deadline': 3.4822257674985453, 'period': 3.4822257674985453, 'exclusive-R': 0.8316850563146818}
 {'shared-R': 14.84389779193193, 'deadline': 87.9908093152275, 'period': 87.9908093152275, 'exclusive-R': 29.198572235780166}
 {'shared-R': 1.5861086678897436, 'deadline': 3.7534148575028237, 'period': 3.7534148575028237, 'exclusive-R': 0.7061294863202771}
 {'shared-R': 5.523927947031269, 'deadline': 67.63711833427917, 'period': 67.63711833427917, 'exclusive-R': 20.70658633242616}
 {'shared-R': 0.28392665241279197, 'deadline': 6.56472171663287, 'period': 6.56472171663287, 'exclusive-R': 2.0471512727193297}
 {'shared-R': 0.6353070975433721, 'deadline': 34.45149523158861, 'period': 34.45149523158861, 'exclusive-R': 14.426467886899719}
 {'shared-R': 1.0375962694216814, 'deadline': 8.814458061373376, 'period': 8.814458061373376, 'exclusive-R': 3.352524854760647}
 {'shared-R': 36.65751379100666, 'deadline': 96.80679571231987, 'period': 96.80679571231987, 'exclusive-R': 26.167156736615375}]
total utili:4.5
total utili+exclusive:14.2251425534
[ {'shared-R': 0.8063463948228615, 'deadline': 6.519315244485842, 'period': 6.519315244485842, 'exclusive-R': 2.5058921753229084}
 {'shared-R': 5.8868125497951835, 'deadline': 28.06623252274129, 'period': 28.06623252274129, 'exclusive-R': 8.320814090402251}
 {'shared-R': 0.6009453352424343, 'deadline': 2.223968866638708, 'period': 2.223968866638708, 'exclusive-R': 0.6720212555061452}
 {'shared-R': 8.2945532062102, 'deadline': 83.74888232248799, 'period': 83.74888232248799, 'exclusive-R': 29.928180675828067}
 {'shared-R': 0.10188973377470494, 'deadline': 1.5521924419979074, 'period': 1.5521924419979074, 'exclusive-R': 0.475421403248991}
 {'shared-R': 3.8495456638524534, 'deadline': 30.392026551267655, 'period': 30.392026551267655, 'exclusive-R': 9.716747200606996}
 {'shared-R': 0.06857707105136203, 'deadline': 3.973532946801808, 'period': 3.973532946801808, 'exclusive-R': 1.5481342707520565}
 {'shared-R': 9.620285366269073, 'deadline': 98.8998745526255, 'period': 98.8998745526255, 'exclusive-R': 36.02079014379164}
 {'shared-R': 0.34295363354565406, 'deadline': 5.200035349660738, 'period': 5.200035349660738, 'exclusive-R': 1.552344756134522}
 {'shared-R': 27.802035543205136, 'deadline': 71.40801830002957, 'period': 71.40801830002957, 'exclusive-R': 16.055834951287775}
 {'shared-R': 0.4402989231033067, 'deadline': 6.075155446206379, 'period': 6.075155446206379, 'exclusive-R': 2.040027903371535}
 {'shared-R': 15.162453698223143, 'deadline': 97.32482284223572, 'period': 97.32482284223572, 'exclusive-R': 26.19393412899763}
 {'shared-R': 1.7182287458143908, 'deadline': 7.390440167704451, 'period': 7.390440167704451, 'exclusive-R': 2.2293047337623975}
 {'shared-R': 2.139850457278307, 'deadline': 61.883963394357664, 'period': 61.883963394357664, 'exclusive-R': 19.49926217431552}
 {'shared-R': 0.9663493313717385, 'deadline': 8.490768662542811, 'period': 8.490768662542811, 'exclusive-R': 3.073537865144308}
 {'shared-R': 6.2687125151305505, 'deadline': 44.237024868335595, 'period': 44.237024868335595, 'exclusive-R': 11.594433829184862}
 {'shared-R': 0.15767424162992916, 'deadline': 9.222526475832266, 'period': 9.222526475832266, 'exclusive-R': 3.8071817832161168}
 {'shared-R': 8.354997141607663, 'deadline': 44.012601476301754, 'period': 44.012601476301754, 'exclusive-R': 12.266251988460166}
 {'shared-R': 0.0911967061104458, 'deadline': 2.3336195261138206, 'period': 2.3336195261138206, 'exclusive-R': 0.9705462700077346}
 {'shared-R': 1.2676233137840691, 'deadline': 13.268858566054707, 'period': 13.268858566054707, 'exclusive-R': 3.682544018387429}
 {'shared-R': 0.5765477347579316, 'deadline': 8.261320323515076, 'period': 8.261320323515076, 'exclusive-R': 2.80446219857489}
 {'shared-R': 11.442457470822525, 'deadline': 75.00781338760363, 'period': 75.00781338760363, 'exclusive-R': 22.547662120987653}
 {'shared-R': 1.0455336244706936, 'deadline': 3.110163764625791, 'period': 3.110163764625791, 'exclusive-R': 0.7126971241861454}
 {'shared-R': 2.1772801163131286, 'deadline': 38.37318458440667, 'period': 38.37318458440667, 'exclusive-R': 11.320762385619641}
 {'shared-R': 0.23139208576144107, 'deadline': 4.765437223183857, 'period': 4.765437223183857, 'exclusive-R': 1.8496892478374534}
 {'shared-R': 0.48327399304587976, 'deadline': 51.6334658185483, 'period': 51.6334658185483, 'exclusive-R': 18.54824560201405}
 {'shared-R': 0.7591023408642051, 'deadline': 7.753288682771529, 'period': 7.753288682771529, 'exclusive-R': 2.2170389463684446}
 {'shared-R': 21.560033859369174, 'deadline': 88.46862044177504, 'period': 88.46862044177504, 'exclusive-R': 25.72573495542543}
 {'shared-R': 1.2755532920237191, 'deadline': 3.08066836974983, 'period': 3.08066836974983, 'exclusive-R': 0.7503468683465551}
 {'shared-R': 22.738422822791815, 'deadline': 44.24150574726666, 'period': 44.24150574726666, 'exclusive-R': 8.56612004255022}]
total utili:4.5
total utili+exclusive:13.8998290043
[ {'shared-R': 2.2057149955854665, 'deadline': 8.119725083143276, 'period': 8.119725083143276, 'exclusive-R': 2.1178886002132415}
 {'shared-R': 1.399457995908861, 'deadline': 59.36627524392147, 'period': 59.36627524392147, 'exclusive-R': 25.194178730413206}
 {'shared-R': 0.42307118306134833, 'deadline': 4.903308804184643, 'period': 4.903308804184643, 'exclusive-R': 1.8510906407281955}
 {'shared-R': 3.167423026883475, 'deadline': 12.92498653938025, 'period': 12.92498653938025, 'exclusive-R': 3.2456088046389757}
 {'shared-R': 0.007327193581822308, 'deadline': 7.01993434528508, 'period': 7.01993434528508, 'exclusive-R': 2.460453657671233}
 {'shared-R': 23.95851951747638, 'deadline': 99.76002073879275, 'period': 99.76002073879275, 'exclusive-R': 25.962210196192057}
 {'shared-R': 0.5469589433045995, 'deadline': 5.198136153915706, 'period': 5.198136153915706, 'exclusive-R': 1.5174819300406814}
 {'shared-R': 1.428952167472176, 'deadline': 11.421583119025362, 'period': 11.421583119025362, 'exclusive-R': 4.1862148330142395}
 {'shared-R': 0.8103427474250764, 'deadline': 4.126798029636728, 'period': 4.126798029636728, 'exclusive-R': 1.1209709820994698}
 {'shared-R': 2.758199019025937, 'deadline': 54.59517516100862, 'period': 54.59517516100862, 'exclusive-R': 22.3944088696513}
 {'shared-R': 0.10175299993530913, 'deadline': 5.1830673134289595, 'period': 5.1830673134289595, 'exclusive-R': 1.6348820911744042}
 {'shared-R': 12.754643553185575, 'deadline': 93.42108024789961, 'period': 93.42108024789961, 'exclusive-R': 29.651311416077263}
 {'shared-R': 0.5850265845486815, 'deadline': 6.922272363343131, 'period': 6.922272363343131, 'exclusive-R': 2.028405670315885}
 {'shared-R': 6.523499133222537, 'deadline': 51.15744240661987, 'period': 51.15744240661987, 'exclusive-R': 18.812661716382763}
 {'shared-R': 1.1910561572275098, 'deadline': 6.859056730751243, 'period': 6.859056730751243, 'exclusive-R': 2.196527272222446}
 {'shared-R': 2.3622238982973216, 'deadline': 57.917615600572674, 'period': 57.917615600572674, 'exclusive-R': 20.48042532428396}
 {'shared-R': 0.39004215035340783, 'deadline': 5.0127285835988165, 'period': 5.0127285835988165, 'exclusive-R': 1.7819339373879424}
 {'shared-R': 4.965208089895375, 'deadline': 95.14467664866058, 'period': 95.14467664866058, 'exclusive-R': 33.14759047284852}
 {'shared-R': 0.2311360945145589, 'deadline': 1.2930007397338232, 'period': 1.2930007397338232, 'exclusive-R': 0.34303030883932967}
 {'shared-R': 4.148470205971381, 'deadline': 27.467396699994524, 'period': 27.467396699994524, 'exclusive-R': 10.320394487805999}
 {'shared-R': 1.3572338521359222, 'deadline': 3.833926320244318, 'period': 3.833926320244318, 'exclusive-R': 0.7544421952767223}
 {'shared-R': 4.725062175019296, 'deadline': 14.832254990561715, 'period': 14.832254990561715, 'exclusive-R': 3.1399354637339636}
 {'shared-R': 0.22266017420847597, 'deadline': 1.067714284548526, 'period': 1.067714284548526, 'exclusive-R': 0.3531757061794524}
 {'shared-R': 6.67197594089123, 'deadline': 72.95403640204643, 'period': 72.95403640204643, 'exclusive-R': 26.909344673755108}
 {'shared-R': 0.00461793818611566, 'deadline': 1.1854880550566098, 'period': 1.1854880550566098, 'exclusive-R': 0.3545330441508343}
 {'shared-R': 21.647157504304385, 'deadline': 50.138145840456964, 'period': 50.138145840456964, 'exclusive-R': 12.68109748951085}
 {'shared-R': 0.6043101584714434, 'deadline': 3.2921694186361443, 'period': 3.2921694186361443, 'exclusive-R': 0.9334372006989994}
 {'shared-R': 5.50745826764746, 'deadline': 85.3751881358528, 'period': 85.3751881358528, 'exclusive-R': 31.948666100975778}
 {'shared-R': 0.42488032938848264, 'deadline': 2.769496215392823, 'period': 2.769496215392823, 'exclusive-R': 0.7139992108134026}
 {'shared-R': 27.306607040554624, 'deadline': 90.14908932720977, 'period': 90.14908932720977, 'exclusive-R': 24.408489358772044}]
total utili:4.5
total utili+exclusive:13.9236049165
[ {'shared-R': 0.3727347082076609, 'deadline': 1.4877707924840644, 'period': 1.4877707924840644, 'exclusive-R': 0.36000058644569227}
 {'shared-R': 4.008286191764773, 'deadline': 56.9136927537358, 'period': 56.9136927537358, 'exclusive-R': 21.27223511747042}
 {'shared-R': 1.269841781457811, 'deadline': 2.4567936240771218, 'period': 2.4567936240771218, 'exclusive-R': 0.4081212537841766}
 {'shared-R': 3.8997644261441544, 'deadline': 67.56092328371727, 'period': 67.56092328371727, 'exclusive-R': 21.369482534343177}
 {'shared-R': 0.15035557287955836, 'deadline': 1.399819230379415, 'period': 1.399819230379415, 'exclusive-R': 0.3913089760969617}
 {'shared-R': 1.142324707020879, 'deadline': 21.43443137142429, 'period': 21.43443137142429, 'exclusive-R': 8.609741355196864}
 {'shared-R': 1.1863559901249703, 'deadline': 6.435994195858754, 'period': 6.435994195858754, 'exclusive-R': 1.642911162801215}
 {'shared-R': 1.493518690201799, 'deadline': 17.648452003899113, 'period': 17.648452003899113, 'exclusive-R': 6.53392016462477}
 {'shared-R': 0.5121431714295471, 'deadline': 9.953852310965274, 'period': 9.953852310965274, 'exclusive-R': 2.8334653290573946}
 {'shared-R': 16.401473025292002, 'deadline': 63.52590787571706, 'period': 63.52590787571706, 'exclusive-R': 17.95910810237367}
 {'shared-R': 2.729189569799136, 'deadline': 9.288158548674689, 'period': 9.288158548674689, 'exclusive-R': 2.5435830404055193}
 {'shared-R': 3.31103739754687, 'deadline': 64.71088164182721, 'period': 64.71088164182721, 'exclusive-R': 20.519096264658536}
 {'shared-R': 0.8100103554143756, 'deadline': 7.617225428012608, 'period': 7.617225428012608, 'exclusive-R': 2.4729778822906714}
 {'shared-R': 9.34592208122971, 'deadline': 18.581377001669303, 'period': 18.581377001669303, 'exclusive-R': 3.511195758038765}
 {'shared-R': 0.5557172699111348, 'deadline': 7.924623451750621, 'period': 7.924623451750621, 'exclusive-R': 2.879212590303397}
 {'shared-R': 0.6859489614211882, 'deadline': 50.52663095641295, 'period': 50.52663095641295, 'exclusive-R': 18.53938834513705}
 {'shared-R': 0.03309347291238651, 'deadline': 7.644255149749145, 'period': 7.644255149749145, 'exclusive-R': 3.0823770323648594}
 {'shared-R': 1.123603582801311, 'deadline': 26.896858765954715, 'period': 26.896858765954715, 'exclusive-R': 10.259803716018503}
 {'shared-R': 1.5567978671020588, 'deadline': 4.939971814473271, 'period': 4.939971814473271, 'exclusive-R': 1.2775105997782337}
 {'shared-R': 0.42390675956236695, 'deadline': 37.65379406625341, 'period': 37.65379406625341, 'exclusive-R': 15.584430824669163}
 {'shared-R': 1.3568646013905172, 'deadline': 3.8315602041344543, 'period': 3.8315602041344543, 'exclusive-R': 1.0833278429796604}
 {'shared-R': 1.0685032263702958, 'deadline': 42.91431143599491, 'period': 42.91431143599491, 'exclusive-R': 13.009557580504973}
 {'shared-R': 0.9202112261459103, 'deadline': 9.758268833518912, 'period': 9.758268833518912, 'exclusive-R': 3.9662232507439352}
 {'shared-R': 11.22025490966881, 'deadline': 51.49328191350236, 'period': 51.49328191350236, 'exclusive-R': 17.92866169446191}
 {'shared-R': 0.5843084162351697, 'deadline': 7.752004273189337, 'period': 7.752004273189337, 'exclusive-R': 2.687738440116266}
 {'shared-R': 1.6838131859429617, 'deadline': 79.24841171247702, 'period': 79.24841171247702, 'exclusive-R': 28.265889354662864}
 {'shared-R': 0.800318407312753, 'deadline': 4.728215728446354, 'period': 4.728215728446354, 'exclusive-R': 1.6664652468534948}
 {'shared-R': 2.0412821004845774, 'deadline': 65.25611671192654, 'period': 65.25611671192654, 'exclusive-R': 24.26084227528641}
 {'shared-R': 0.724574662665314, 'deadline': 2.4533107104526803, 'period': 2.4533107104526803, 'exclusive-R': 0.7224827476048528}
 {'shared-R': 16.039242003772152, 'deadline': 93.85688215134907, 'period': 93.85688215134907, 'exclusive-R': 28.50283448323193}]
total utili:4.5
total utili+exclusive:14.1305258075
[ {'shared-R': 0.30428114918079996, 'deadline': 6.7050123280654255, 'period': 6.7050123280654255, 'exclusive-R': 2.6964028314687694}
 {'shared-R': 3.405381039409967, 'deadline': 32.92281354928441, 'period': 32.92281354928441, 'exclusive-R': 12.302195736704688}
 {'shared-R': 0.0657418908859094, 'deadline': 4.5313983297512355, 'period': 4.5313983297512355, 'exclusive-R': 1.5297315563728127}
 {'shared-R': 6.347570062707205, 'deadline': 26.249867608518155, 'period': 26.249867608518155, 'exclusive-R': 6.4617472455059195}
 {'shared-R': 0.34307890772633404, 'deadline': 1.5151879786715552, 'period': 1.5151879786715552, 'exclusive-R': 0.42077922670671564}
 {'shared-R': 4.439106158155585, 'deadline': 28.206286248604087, 'period': 28.206286248604087, 'exclusive-R': 9.271273089941394}
 {'shared-R': 0.15206663394308478, 'deadline': 5.277178823735124, 'period': 5.277178823735124, 'exclusive-R': 2.0403202400588962}
 {'shared-R': 1.8456371381928947, 'deadline': 27.123044496156204, 'period': 27.123044496156204, 'exclusive-R': 10.542189281527447}
 {'shared-R': 0.19246628122811263, 'deadline': 8.655468042170304, 'period': 8.655468042170304, 'exclusive-R': 3.2028212126022115}
 {'shared-R': 7.467673634078204, 'deadline': 48.44838118228477, 'period': 48.44838118228477, 'exclusive-R': 14.339996335393542}
 {'shared-R': 1.5125971980810444, 'deadline': 7.94127283653381, 'period': 7.94127283653381, 'exclusive-R': 2.1314853594416276}
 {'shared-R': 5.87047419705719, 'deadline': 42.43183117199911, 'period': 42.43183117199911, 'exclusive-R': 11.493209136381427}
 {'shared-R': 1.9436834250554877, 'deadline': 4.427735113707102, 'period': 4.427735113707102, 'exclusive-R': 0.7714444496246645}
 {'shared-R': 0.13911471474378603, 'deadline': 27.77539672762679, 'period': 27.77539672762679, 'exclusive-R': 11.061205033335654}
 {'shared-R': 3.808522358373082, 'deadline': 9.0040750692602, 'period': 9.0040750692602, 'exclusive-R': 2.132518359955366}
 {'shared-R': 5.39872687094333, 'deadline': 70.08881293442472, 'period': 70.08881293442472, 'exclusive-R': 27.444013791343885}
 {'shared-R': 0.4928341059376424, 'deadline': 6.5945227674036735, 'period': 6.5945227674036735, 'exclusive-R': 2.565498550946269}
 {'shared-R': 0.10063329135666799, 'deadline': 71.13972987249198, 'period': 71.13972987249198, 'exclusive-R': 24.301688686411843}
 {'shared-R': 1.9338634585515315, 'deadline': 6.643657410316605, 'period': 6.643657410316605, 'exclusive-R': 1.9875843020825}
 {'shared-R': 16.100034023246206, 'deadline': 79.29125711017447, 'period': 79.29125711017447, 'exclusive-R': 22.496042951782467}
 {'shared-R': 0.13417713422161762, 'deadline': 2.0225238222817583, 'period': 2.0225238222817583, 'exclusive-R': 0.7965083645847345}
 {'shared-R': 12.877997170960276, 'deadline': 95.1873928458268, 'period': 95.1873928458268, 'exclusive-R': 30.720510478634964}
 {'shared-R': 0.4517992300645285, 'deadline': 8.471673969695278, 'period': 8.471673969695278, 'exclusive-R': 3.263356646712748}
 {'shared-R': 2.469269500806658, 'deadline': 86.34886439080776, 'period': 86.34886439080776, 'exclusive-R': 32.95099795941108}
 {'shared-R': 0.10074552718164781, 'deadline': 4.339530261778631, 'period': 4.339530261778631, 'exclusive-R': 1.8422371251120269}
 {'shared-R': 20.565442949896344, 'deadline': 96.01302893270974, 'period': 96.01302893270974, 'exclusive-R': 32.75377066906452}
 {'shared-R': 0.01273898250985549, 'deadline': 3.0098712989499763, 'period': 3.0098712989499763, 'exclusive-R': 0.9311149018155259}
 {'shared-R': 4.8812155903751355, 'deadline': 26.25373339983875, 'period': 26.25373339983875, 'exclusive-R': 7.012591847061217}
 {'shared-R': 2.1566784761409488, 'deadline': 8.114521925967761, 'period': 8.114521925967761, 'exclusive-R': 1.9546319582965626}
 {'shared-R': 19.809296315655274, 'deadline': 32.06346703260401, 'period': 32.06346703260401, 'exclusive-R': 4.137911189154634}]
total utili:4.5
total utili+exclusive:14.1563840388

input/30Tasks_600_3_S.npy
[ {'shared-R': 3.044088414670313, 'deadline': 9.771774820425888, 'period': 9.771774820425888, 'exclusive-R': 2.400322352135616}
 {'shared-R': 0.5967792632568241, 'deadline': 54.87438745647367, 'period': 54.87438745647367, 'exclusive-R': 16.848274718475693}
 {'shared-R': 0.04840156393651643, 'deadline': 1.3814826093598525, 'period': 1.3814826093598525, 'exclusive-R': 0.43633004402716596}
 {'shared-R': 33.12837738531111, 'deadline': 66.31427300309873, 'period': 66.31427300309873, 'exclusive-R': 12.508081223465444}
 {'shared-R': 0.005322893467558699, 'deadline': 1.2916999394017012, 'period': 1.2916999394017012, 'exclusive-R': 0.4604912265377996}
 {'shared-R': 1.0133784478799266, 'deadline': 10.676227609491537, 'period': 10.676227609491537, 'exclusive-R': 3.9039964701375105}
 {'shared-R': 0.4970354821304009, 'deadline': 8.574564786910138, 'period': 8.574564786910138, 'exclusive-R': 2.94887077295914}
 {'shared-R': 4.5106623768581136, 'deadline': 13.000293931066466, 'period': 13.000293931066466, 'exclusive-R': 3.4488702109118683}
 {'shared-R': 0.2580947156632483, 'deadline': 5.005157622442951, 'period': 5.005157622442951, 'exclusive-R': 1.9990717697440235}
 {'shared-R': 14.450600669425606, 'deadline': 82.62326364949303, 'period': 82.62326364949303, 'exclusive-R': 21.052360811255472}
 {'shared-R': 0.6499566790496498, 'deadline': 3.344386502105065, 'period': 3.344386502105065, 'exclusive-R': 1.0429393352866279}
 {'shared-R': 65.01918062037505, 'deadline': 88.30660769136773, 'period': 88.30660769136773, 'exclusive-R': 8.086307186882658}
 {'shared-R': 1.8790147034967082, 'deadline': 7.283285237880868, 'period': 7.283285237880868, 'exclusive-R': 2.094096652071629}
 {'shared-R': 3.0024995735928295, 'deadline': 13.966538858848425, 'period': 13.966538858848425, 'exclusive-R': 4.041280224280747}
 {'shared-R': 0.2934678029132433, 'deadline': 4.148763113569361, 'period': 4.148763113569361, 'exclusive-R': 1.7183869548133783}
 {'shared-R': 5.753669171597646, 'deadline': 16.137289192211895, 'period': 16.137289192211895, 'exclusive-R': 3.411933685224723}
